track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_minute
4kIpBfvK44bxqX7zo8K1oP,Gaho,ITAEWON CLASS (Original Television Soundtrack) Pt.2,시작,65,202440,False,0.591,0.818,4,-3.532,1,0.073,0.172,0.0,0.126,0.574,108.107,4,k-pop,3.374
2oVHb8wyg6oC2iNpGBNvx1,HEIZE,Hotel del Luna (Original Television Soundtrack) Pt.5,내 맘을 볼 수 있나요,63,225785,False,0.397,0.166,9,-10.678,1,0.0349,0.884,0.0,0.1,0.131,134.708,4,k-pop,3.7630833333333333
56Cmy1rCQ35V2Q7groYiHl,TAEYEON,Hotel del Luna (Original Television Soundtrack) Pt.3,그대라는 시,66,209482,False,0.533,0.292,9,-7.1,1,0.0364,0.914,0.0,0.118,0.472,135.624,4,k-pop,3.4913666666666665
22x5EpcJkfE3SHBONJG6FS,CHEHON,BEST,韻波句徒,60,291440,False,0.806,0.863,10,-2.679,0,0.0518,0.408,0.0,0.0755,0.928,122.03,4,reggae,4.857333333333333
4UeWKazLR1ZwwSVnLw9Ir9,Vaundy,踊り子,踊り子,57,230109,False,0.718,0.475,7,-11.469,1,0.0611,0.845,0.801,0.105,0.678,157.032,4,soul,3.83515
6nSnDI2EvwXocgjj6hwQRv,Camille Saint-Saëns;石丸由佳,死の舞踏~悪魔のパイプオルガン,死の舞踏,1,538293,False,0.213,0.159,7,-13.897,1,0.0366,0.715,0.914,0.101,0.0373,143.35,4,classical,8.97155
3gHGMXEUhVHl4cxOXX3Rmq,Nightmare;DEATH NOTE デスノート,the WORLD/アルミナ,アルミナ,50,304106,False,0.347,0.901,10,-3.224,0,0.0532,0.0156,0.0,0.127,0.528,184.942,3,metal,5.068433333333333
1rIe54Dy1FYOZl3bQ0FQeN,Nightmare,the WORLD Ruler,アルミナ,50,305840,False,0.371,0.843,10,-4.447,0,0.0492,0.0322,0.0,0.158,0.599,184.78,3,metal,5.097333333333333
1SHB1hp6267UK9bJQUxYvO,Molchat Doma,Этажи,Судно (Борис Рижий),75,141394,False,0.484,0.75,1,-4.176,1,0.0685,0.697,0.862,0.105,0.467,159.992,4,indie,2.3565666666666667
3X412wnMLKyqctlRfhPa7Q,Tomorrow,ННД,ННД,69,87259,False,0.407,0.938,11,-3.263,1,0.0553,0.0339,0.00141,0.807,0.729,172.661,4,metal,1.4543166666666667
0pPMSxTHDxROblb7yID8Ar,Andro,MOON FLAME,Иса,61,159529,False,0.617,0.649,5,-3.796,0,0.0428,0.422,1.3e-06,0.244,0.487,85.018,4,hip-hop,2.6588166666666666
6xsUlQIjfduRdQt88yekZ5,Hafdís Huld,Vögguvísur,Þú ert,43,135325,False,0.581,0.19,7,-13.84,1,0.031,0.828,2.57e-05,0.151,0.298,78.347,4,folk,2.2554166666666666
4zdQnUf0viZCBLaRLtFzCn,Roberta Campos,Último Romance,Último Romance,46,257701,False,0.446,0.442,8,-7.367,0,0.0266,0.684,0.0,0.0891,0.469,144.994,4,folk,4.295016666666666
7uUmZxPiY90voICTzpcN4y,Chico Teixeira;Almir Sater,Último Adeus,Último Adeus,46,221023,False,0.544,0.453,6,-8.944,1,0.0231,0.686,0.000325,0.134,0.478,93.22,4,folk,3.6837166666666668
0mqVT9ySzvGwCeLy9MuCY1,Grupo Callado,Ultimamente,Últimamente,45,191764,False,0.669,0.615,9,-8.517,1,0.0375,0.544,0.0,0.278,0.753,77.917,4,folk,3.196066666666667
0bCytBmznSsL8EguzVf2iJ,Jorge Muñiz,Azulejos 2,Ódiame / Fina Estampa,33,273240,False,0.536,0.485,9,-9.326,1,0.0434,0.652,1.47e-05,0.662,0.536,143.332,3,rock-n-roll,4.554
