spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6Kijtp0DB6VwcoJIw7PJ9W,"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)","Kabza De Small, Mthunzi, DJ Maphorisa, Young Stunna, Sizwe Alakine, Umthakathi Kush",1,0,0,ZA,2024-02-14,73,False,351200,Isimo,2023-10-27,0.806,0.767,6,-9.686,0,0.112,0.179,0.00126,0.182,0.795,113.001,4
5CD3ImPPdCW8QFQkjo5TXt,Funk 55,"Shakes & Les, DBN Gogo, Zee Nxumalo, Ceeka RSA, Chley",2,0,0,ZA,2024-02-14,69,False,373821,Funk 55,2023-12-01,0.895,0.438,2,-13.307,0,0.083,0.023,0.000359,0.0425,0.508,113.047,4
4m4BHvDfzIgj5LbQLuFiIp,CARNIVAL,"Kanye West, Ty Dolla $ign",3,2,47,ZA,2024-02-14,82,True,264324,VULTURES 1,2024-02-09,0.596,0.81,1,-5.745,1,0.152,0.192,0.0,0.338,0.29,148.241,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,4,6,0,ZA,2024-02-14,96,False,180304,Beautiful Things,2024-01-18,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
4tsVMjM60RNTe9EV5oQ4sQ,Masithokoze,"DJ Stokie, Eemoh",5,-2,-2,ZA,2024-02-14,69,False,427217,Masithokoze,2023-10-20,0.603,0.501,6,-14.253,0,0.0617,0.0224,0.155,0.0154,0.355,113.006,4
0UBK6HcgmmWUQzFQTncmDz,Keneilwe (feat. Dalom Kids),"Wanitwa Mos, Nkosazana Daughter, Master KG, Dalom Kids",6,-2,-1,ZA,2024-02-14,69,False,328096,Makhelwane,2023-11-17,0.867,0.45,9,-8.306,1,0.0467,0.0102,0.00124,0.0228,0.589,113.015,4
0WIv5qV41y6YjjB9V1biuC,Made For Me,Muni Long,7,5,1,ZA,2024-02-14,81,False,188000,Made For Me,2023-09-15,0.785,0.47,7,-6.42,0,0.0329,0.137,1.12e-06,0.131,0.0569,120.006,4
3pImmSzeKex5ffzsDoaL3z,Izenzo,"Bassie, Aymos, T-Man SA",8,-2,-2,ZA,2024-02-14,67,False,414966,Izenzo,2023-08-25,0.748,0.56,4,-13.918,0,0.0563,0.575,0.00117,0.141,0.492,112.0,4
5TY9ovYtBeJTY9s7K3ijEd,Hit after Hit,Ugatsheni,9,0,3,ZA,2024-02-14,60,False,279823,Uyihlo nonyoko,2023-12-08,0.645,0.792,0,-7.466,1,0.0541,0.575,0.0,0.0899,0.679,158.53,4
7JbLSEDlRdoJaXk5ddZae2,Paris,"Mthandeni SK, Lwah Ndlunkulu",10,-2,1,ZA,2024-02-14,64,False,257959,Paris,2023-08-09,0.619,0.903,1,-4.659,1,0.0693,0.0296,0.00199,0.19,0.964,154.639,4
